"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/1990","2,822.45","2,821.30","2,829.17","2,807.41","21.10M","0.03%"
"05/14/1990","2,821.53","2,800.24","2,853.47","2,800.24","30.51M","0.71%"
"05/11/1990","2,801.58","2,738.74","2,804.05","2,738.74","31.50M","2.30%"
"05/10/1990","2,738.51","2,732.88","2,746.62","2,726.35","20.03M","0.21%"
"05/09/1990","2,732.88","2,733.56","2,735.14","2,717.34","18.31M","-0.02%"
"05/08/1990","2,733.56","2,721.62","2,734.23","2,718.24","14.09M","0.44%"
"05/07/1990","2,721.62","2,710.36","2,730.18","2,706.31","14.25M","0.42%"
"05/04/1990","2,710.36","2,695.95","2,710.81","2,685.59","15.50M","0.53%"
"05/03/1990","2,696.17","2,689.64","2,710.59","2,689.64","18.08M","0.24%"
"05/02/1990","2,689.64","2,668.92","2,689.64","2,666.67","16.59M","0.78%"
"05/01/1990","2,668.92","2,656.76","2,677.03","2,656.76","15.65M","0.46%"
"04/30/1990","2,656.76","2,645.04","2,663.74","2,634.01","14.25M","0.44%"
"04/27/1990","2,645.05","2,676.13","2,681.31","2,644.14","15.85M","-1.18%"
"04/26/1990","2,676.58","2,666.44","2,682.21","2,656.08","15.83M","0.38%"
"04/25/1990","2,666.44","2,654.50","2,674.77","2,654.28","115.78M","0.45%"
"04/24/1990","2,654.50","2,667.12","2,677.93","2,650.23","14.92M","-0.46%"
"04/23/1990","2,666.67","2,695.95","2,695.95","2,656.98","16.13M","-1.09%"
"04/20/1990","2,695.95","2,712.16","2,716.22","2,672.52","24.97M","-0.59%"
"04/19/1990","2,711.94","2,733.33","2,734.01","2,709.23","17.63M","-0.77%"
"04/18/1990","2,732.88","2,765.99","2,771.62","2,727.48","19.15M","-1.19%"
"04/17/1990","2,765.77","2,763.06","2,769.14","2,741.44","14.62M","0.10%"
"04/16/1990","2,763.06","2,751.80","2,782.88","2,751.80","19.55M","0.41%"
"04/12/1990","2,751.80","2,729.50","2,756.76","2,728.83","13.00M","0.81%"
"04/11/1990","2,729.73","2,730.86","2,740.99","2,723.65","15.76M","-0.05%"
"04/10/1990","2,731.08","2,722.07","2,733.78","2,715.99","13.13M","0.33%"
"04/09/1990","2,722.07","2,716.89","2,729.28","2,714.64","10.49M","0.18%"
"04/06/1990","2,717.12","2,721.17","2,729.50","2,701.80","12.19M","-0.15%"
"04/05/1990","2,721.17","2,719.37","2,738.29","2,718.69","13.64M","0.07%"
"04/04/1990","2,719.37","2,736.26","2,746.85","2,714.86","21.25M","-0.63%"
"04/03/1990","2,736.71","2,700.45","2,741.44","2,700.45","18.04M","1.34%"
"04/02/1990","2,700.45","2,706.76","2,706.76","2,679.50","16.05M","-0.25%"
"03/30/1990","2,707.21","2,727.03","2,729.05","2,701.35","15.40M","-0.75%"
"03/29/1990","2,727.70","2,743.47","2,743.69","2,721.85","15.08M","-0.58%"
"03/28/1990","2,743.69","2,736.71","2,745.72","2,727.03","16.71M","0.25%"
"03/27/1990","2,736.94","2,707.66","2,736.94","2,697.30","14.32M","1.08%"
"03/26/1990","2,707.66","2,704.28","2,727.03","2,704.28","12.84M","0.12%"
"03/23/1990","2,704.28","2,694.82","2,712.61","2,694.82","19.01M","0.32%"
"03/22/1990","2,695.72","2,727.70","2,731.31","2,678.60","21.71M","-1.18%"
"03/21/1990","2,727.93","2,738.74","2,751.35","2,724.77","14.80M","-0.39%"
"03/20/1990","2,738.74","2,755.63","2,768.24","2,733.78","22.40M","-0.61%"
"03/19/1990","2,755.63","2,736.49","2,757.21","2,713.06","17.44M","0.53%"
"03/16/1990","2,741.22","2,695.27","2,741.22","2,695.27","36.31M","1.69%"
"03/15/1990","2,695.72","2,687.84","2,708.56","2,687.84","16.67M","0.29%"
"03/14/1990","2,687.84","2,674.77","2,694.59","2,672.30","16.84M","0.50%"
"03/13/1990","2,674.55","2,686.71","2,694.14","2,667.12","20.12M","-0.45%"
"03/12/1990","2,686.71","2,683.33","2,690.77","2,669.14","16.96M","0.13%"
"03/09/1990","2,683.33","2,695.95","2,698.65","2,672.52","21.70M","-0.48%"
"03/08/1990","2,696.17","2,669.37","2,699.55","2,668.47","21.85M","1.00%"
"03/07/1990","2,669.59","2,676.58","2,685.59","2,665.54","22.54M","-0.27%"
"03/06/1990","2,676.80","2,649.55","2,677.48","2,644.14","22.33M","1.03%"
"03/05/1990","2,649.55","2,660.14","2,666.44","2,644.14","19.79M","-0.41%"
"03/02/1990","2,660.36","2,636.71","2,660.36","2,636.49","20.10M","0.94%"
"03/01/1990","2,635.59","2,627.70","2,648.65","2,618.47","23.22M","0.32%"
"02/28/1990","2,627.25","2,617.12","2,645.27","2,614.64","22.99M","0.39%"
"02/27/1990","2,617.12","2,602.48","2,630.18","2,601.35","21.70M","0.56%"
"02/26/1990","2,602.48","2,564.64","2,602.48","2,564.41","17.80M","1.49%"
"02/23/1990","2,564.19","2,574.77","2,581.31","2,548.42","19.60M","-0.41%"
"02/22/1990","2,574.77","2,583.56","2,618.02","2,574.55","21.20M","-0.34%"
"02/21/1990","2,583.56","2,596.85","2,596.85","2,565.32","20.68M","-0.51%"
"02/20/1990","2,596.85","2,636.04","2,636.04","2,585.81","17.46M","-1.47%"
"02/16/1990","2,635.59","2,649.55","2,658.11","2,633.33","23.13M","-0.53%"
"02/15/1990","2,649.55","2,624.32","2,650.90","2,622.07","18.18M","0.96%"
"02/14/1990","2,624.32","2,624.10","2,639.64","2,615.54","14.73M","0.01%"
"02/13/1990","2,624.10","2,619.14","2,631.98","2,600.00","18.92M","0.19%"
"02/12/1990","2,619.14","2,648.42","2,648.42","2,619.14","12.42M","-1.10%"
"02/09/1990","2,648.20","2,644.59","2,658.33","2,635.59","15.59M","0.14%"
"02/08/1990","2,644.37","2,640.09","2,664.86","2,631.98","20.62M","0.16%"
"02/07/1990","2,640.09","2,606.31","2,642.12","2,585.81","20.75M","1.30%"
"02/06/1990","2,606.31","2,622.52","2,622.97","2,594.37","16.21M","-0.62%"
"02/05/1990","2,622.52","2,602.70","2,625.68","2,598.65","13.65M","0.76%"
"02/02/1990","2,602.70","2,586.26","2,616.44","2,581.98","18.70M","0.64%"
"02/01/1990","2,586.26","2,590.32","2,598.65","2,580.18","19.80M","-0.17%"
"01/31/1990","2,590.54","2,543.47","2,590.54","2,542.79","22.51M","1.86%"
"01/30/1990","2,543.24","2,553.38","2,562.61","2,519.14","24.91M","-0.40%"
"01/29/1990","2,553.38","2,558.78","2,572.07","2,529.05","16.54M","-0.23%"
"01/26/1990","2,559.23","2,561.04","2,583.56","2,522.52","25.73M","-0.07%"
"01/25/1990","2,561.04","2,604.50","2,616.44","2,550.68","22.16M","-1.67%"
"01/24/1990","2,604.50","2,615.32","2,615.54","2,553.38","28.07M","-0.41%"
"01/23/1990","2,615.32","2,600.45","2,625.68","2,588.51","22.52M","0.57%"
"01/22/1990","2,600.45","2,678.75","2,681.08","2,600.23","20.06M","-2.89%"
"01/19/1990","2,677.90","2,665.32","2,686.01","2,665.32","23.36M","0.43%"
"01/18/1990","2,666.38","2,659.13","2,670.22","2,633.75","22.75M","0.27%"
"01/17/1990","2,659.13","2,692.62","2,704.35","2,648.68","21.31M","-1.24%"
"01/16/1990","2,692.62","2,669.37","2,692.62","2,641.21","25.00M","0.87%"
"01/15/1990","2,669.37","2,689.21","2,691.55","2,666.60","18.63M","-0.74%"
"01/12/1990","2,689.21","2,760.88","2,760.88","2,682.81","24.18M","-2.59%"
"01/11/1990","2,760.67","2,750.64","2,774.74","2,750.64","15.79M","0.36%"
"01/10/1990","2,750.64","2,766.21","2,768.13","2,729.31","19.95M","-0.56%"
"01/09/1990","2,766.00","2,794.58","2,802.90","2,766.00","15.80M","-1.02%"
"01/08/1990","2,794.37","2,773.25","2,798.42","2,762.16","16.61M","0.76%"
"01/05/1990","2,773.25","2,796.07","2,802.05","2,769.62","20.29M","-0.82%"
"01/04/1990","2,796.08","2,809.73","2,815.49","2,772.61","24.37M","-0.49%"
"01/03/1990","2,809.73","2,808.23","2,822.95","2,799.06","23.62M","-0.01%"
"01/02/1990","2,810.15","2,753.41","2,810.15","2,740.40","20.68M","2.07%"
"12/29/1989","2,753.20","2,732.30","2,753.41","2,732.30","14.58M","0.76%"
"12/28/1989","2,732.30","2,724.19","2,732.30","2,718.43","12.20M","0.29%"
"12/27/1989","2,724.40","2,709.26","2,731.23","2,708.62","12.50M","0.56%"
"12/26/1989","2,709.26","2,711.39","2,719.92","2,703.71","7.51M","-0.08%"
"12/22/1989","2,711.39","2,691.13","2,711.82","2,691.13","11.32M","0.75%"
"12/21/1989","2,691.13","2,687.93","2,702.43","2,686.22","22.75M","0.12%"
"12/20/1989","2,687.93","2,695.61","2,704.14","2,681.10","20.06M","-0.28%"
"12/19/1989","2,695.61","2,697.95","2,709.68","2,666.38","21.67M","-0.07%"
"12/18/1989","2,697.53","2,739.55","2,755.55","2,679.82","19.95M","-1.53%"
"12/15/1989","2,739.55","2,753.63","2,756.61","2,709.90","38.29M","-0.51%"
"12/14/1989","2,753.63","2,761.09","2,761.09","2,742.11","17.89M","-0.27%"
"12/13/1989","2,761.09","2,752.77","2,772.40","2,751.49","19.87M","0.33%"
"12/12/1989","2,752.13","2,728.24","2,756.61","2,728.24","21.39M","0.88%"
"12/11/1989","2,728.24","2,731.44","2,731.44","2,713.74","14.47M","-0.12%"
"12/08/1989","2,731.44","2,720.78","2,739.55","2,720.78","13.50M","0.39%"
"12/07/1989","2,720.78","2,736.77","2,747.65","2,707.55","16.48M","-0.58%"
"12/06/1989","2,736.77","2,741.68","2,745.31","2,731.23","15.39M","-0.18%"
"12/05/1989","2,741.68","2,753.63","2,764.72","2,740.61","19.19M","-0.43%"
"12/04/1989","2,753.63","2,747.65","2,758.96","2,744.67","19.66M","0.22%"
"12/01/1989","2,747.65","2,706.27","2,758.53","2,706.27","32.64M","1.53%"
"11/30/1989","2,706.27","2,688.99","2,711.18","2,688.99","17.73M","0.65%"
"11/29/1989","2,688.78","2,702.22","2,704.56","2,686.65","16.42M","-0.49%"
"11/28/1989","2,702.01","2,694.97","2,704.14","2,684.30","21.40M","0.26%"
"11/27/1989","2,694.97","2,675.55","2,697.53","2,674.91","20.41M","0.73%"
"11/24/1989","2,675.55","2,656.78","2,679.18","2,656.14","9.89M","0.71%"
"11/22/1989","2,656.78","2,639.29","2,658.06","2,639.29","13.61M","0.66%"
"11/21/1989","2,639.29","2,632.04","2,642.06","2,620.73","15.65M","0.28%"
"11/20/1989","2,632.04","2,650.70","2,652.73","2,621.37","15.43M","-0.78%"
"11/17/1989","2,652.66","2,635.66","2,656.15","2,628.89","22.33M","0.64%"
"11/16/1989","2,635.66","2,632.58","2,637.91","2,621.52","15.23M","0.12%"
"11/15/1989","2,632.58","2,610.25","2,634.63","2,603.07","18.59M","0.86%"
"11/14/1989","2,610.25","2,626.23","2,631.76","2,602.46","16.53M","-0.62%"
"11/13/1989","2,626.43","2,625.61","2,636.68","2,616.19","15.88M","0.03%"
"11/10/1989","2,625.61","2,603.69","2,625.61","2,603.48","16.98M","0.84%"
"11/09/1989","2,603.69","2,623.36","2,626.02","2,601.43","14.18M","-0.75%"
"11/08/1989","2,623.36","2,597.13","2,634.63","2,597.13","18.42M","1.01%"
"11/07/1989","2,597.13","2,581.76","2,601.23","2,569.67","18.86M","0.58%"
